,index,счетчик
0,гуглита,19
1,frankfurt,72
2,storage,2
3,пейпэлом,3
4,umzüge,4
5,spedition,6
6,lagerung,3
7,мувер,1
8,iban,30
9,кликабельный,23
10,евробольшой,5
11,еврон,11
12,евроэти,1
13,biegepuppen,1
14,bärchens,1
15,benna,1
16,bennoh,1
17,klamottenkiste,1
18,полцена,8
19,сортереть,5
20,walz,6
21,еврокак,14
22,европростой,1
23,меморить,5
24,евродорожный,1
25,евровариант,1
26,fisher,2
27,musikschnecke,1
28,goki,1
29,selecta,3
30,bilderstraße,2
31,aus,114
32,holz,2
33,евроновое,4
34,танграм,2
35,методичок,5
36,монстрик,1
37,евроклассный,2
38,noris,1
39,spiele,2
40,kennst,1
41,uhr,43
42,еврораритет,1
43,kalle,1
44,kängu,1
45,евродинамический,1
46,scout,6
47,kannst,2
48,das,232
49,евроновый,24
50,clementoni,1
51,spielesammlung,1
52,ravensburger,7
53,für,382
54,fridolin,1
55,frosch,1
56,schmidt,16
57,blumenwichtel,1
58,пачизя,1
59,евроэт,2
60,ludi,1
61,фиа,1
62,fia,1
63,mens,1
64,erger,1
65,niet,1
66,mensch,6
67,ärgere,3
68,dich,16
69,евроочень,2
70,torres,2
71,евронастольный,1
72,евроabenteuer,1
73,auf,195
74,dem,171
75,zahlenfluss,1
76,европочитать,1
77,spielend,1
78,lernen,8
79,erstes,4
80,zählen,2
81,tierkindern,1
82,drunter,1
83,drüber,1
84,kroko,1
85,affenbande,1
86,geisterbahn,3
87,сортеры,8
88,розенхайм,7
89,utc,996
90,нибыть,3022
91,евроravensburger,2
92,starline,1
93,pferd,2
94,puzzle,1
95,teile,6
96,xxl,3
97,евроfluoreszierend,1
98,minipuzzle,1
99,früchte,1
100,jeremiah,1
101,ketner,1
102,tanz,5
103,delphine,1
104,привата,57
105,kleinanzeigen,32
106,quoka,9
107,продленка,22
108,freiberuflich,11
109,steuernummer,11
110,продленке,14
111,итд,147
112,schulamt,8
113,verlässliche,1
114,ganztagsschule,1
115,продлёнок,2
116,awo,2
117,diakonie,3
118,pferde,2
119,verstehen,3
120,ostwind,1
121,roald,1
122,dahl,1
123,schokoladenfabrik,1
124,евроdas,1
125,buch,8
126,zum,121
127,фотовставка,1
128,bébés,1
129,dinosaures,1
130,евромаленький,1
131,köchin,1
132,königs,1
133,евроинтересный,1
134,евромалость,1
135,джекка,2
136,евросостояние,4
137,виан,9
138,тьерь,1
139,зозить,1
140,обьемный,2
141,prinzessin,2
142,julia,3
143,schmutzfink,1
144,еврокнижечка,1
145,detektiv,1
146,zwei,19
147,spürnasen,1
148,lackaffen,1
149,jagd,1
150,tagebuch,3
151,einer,120
152,alten,5
153,dame,3
154,haben,75
155,sabrina,1
156,spur,2
157,eines,72
158,skrupellosen,1
159,verbrechers,1
160,gebracht,3
161,евроder,1
162,hobbit,1
163,autor,3
164,tolkien,3
165,verlag,9
166,dtv,1
167,плаус,1
168,евромягкий,3
169,grosses,2
170,wilhelm,5
171,busch,1
172,superlustigsten,1
173,witze,1
174,welt,18
175,бегорский,1
176,коэльо,11
177,conni,3
178,bilderbücher,1
179,krank,1
180,евроувеличить,1
181,zweimal,2
182,von,298
183,nina,1
184,petrick,1
185,tallulah,1
186,vier,5
187,pfoten,1
188,herz,13
189,евроsheila,1
190,jeffries,1
191,madita,1
192,lisabet,1
193,birkenlund,1
194,евроvon,1
195,astrid,1
196,liese,1
197,kornitzky,1
198,übersetzer,12
199,aufenthaltserlaubnis,154
200,детсадовца,2
201,югендамт,98
202,джобцентр,22
203,familienrecht,3
204,prozessenkosthilfe,1
205,bezirksamt,8
206,prozesskostenhilfe,5
207,amtsgericht,22
208,арендыэтый,1
209,внж,692
210,ковид,1
211,fiktionsbescheinigung,79
212,valikov,11
213,gmx,45
214,растяпасэлинджер,1
215,миленеджефф,1
216,нимформацияницше,1
217,каникулыфилип,1
218,слёзыджон,1
219,фаулзти,8
220,волхвкен,1
221,кизя,1
222,кукушкишекспир,1
223,iiiгабриеля,1
224,рассказыоскар,1
225,кэндзабурый,1
226,оэ,1
227,годаджон,1
228,мантиссаджон,1
229,коллекционерэнтони,1
230,семяхорх,1
231,существэрих,1
232,своегочак,1
233,паланик,4
234,бродягигабриель,1
235,водыджером,1
236,собакишекспир,1
237,поэзиясервантес,1
238,свежеиздать,2
239,попиарить,1
240,русскоязычность,1
241,расчитка,3
242,klasse,15
243,lernblock,3
244,schülerhilfe,1
245,freizeit,2
246,mathematik,2
247,englisch,16
248,konzentrationob,1
249,alleine,1
250,spielerischen,1
251,wettstreit,1
252,freunden,2
253,richtigen,1
254,übungen,3
255,macht,4
256,spaß,1
257,dieser,22
258,praktische,2
259,bietet,1
260,abwechslungsreiche,1
261,spielerische,1
262,zeichnungen,1
263,jedem,3
264,blatt,2
265,lösungen,3
266,zur,92
267,selbstkontrolle,1
268,blattrückseiteausstattung,1
269,broschierter,1
270,seiten,9
271,format,3
272,wunder,3
273,natur,4
274,еврокнига,10
275,büwa,1
276,duden,15
277,fremdwörterbuch,1
278,евровес,2
279,großes,2
280,wörterbuch,5
281,französisch,4
282,origami,1
283,kinder,34
284,rolli,1
285,еврасти,3
286,tage,21
287,woche,8
288,monate,20
289,jahr,31
290,началка,8
291,европолностью,1
292,poster,1
293,collector,1
294,евроenglische,1
295,ausgabe,3
296,vokabelliste,1
297,christine,2
298,nöstlingerновый,1
299,hexe,4
300,lilli,1
301,zaubert,1
302,hausaufgaben,1
303,schreibschrift,1
304,grundschulwörterbuch,1
305,natürlich,5
306,besser,3
307,kochen,1
308,еврокулинарный,1
309,холфорд,2
310,гормоно,1
311,диетология,2
312,minuten,5
313,fitness,12
314,starker,1
315,rücken,1
316,реккер,1
317,самоисцеление,1
318,ужег,1
319,евротитульный,1
320,бликовать,1
321,süß,3
322,pikant,1
323,лощинский,1
324,застольньис,1
325,вайза,1
326,фредериксен,1
327,евроэтый,4
328,кэлдёр,1
329,turnstunde,1
330,maus,1
331,partyrezepte,1
332,тобыть,82
333,пассбук,1
334,евроfeng,1
335,shui,1
336,chinesische,2
337,kunst,19
338,gesunden,1
339,wohnens,1
340,линдгрена,5
341,форзаец,1
342,rapunzel,1
343,rumpelstilzchen,1
344,еврооб,1
345,eleni,1
346,livanios,1
347,мимими,4
348,shoshan,1
349,jacqueline,2
350,illustrator,4
351,strathie,1
352,леонить,2
353,евроleonie,1
354,schnuller,1
355,miniausgabe,1
356,blaue,31
357,dschinn,1
358,cornelia,2
359,funke,2
360,минний,5
361,миннилина,1
362,gespensterjäger,1
363,eisiger,1
364,bär,2
365,евроeine,1
366,abenteuerliche,2
367,reise,15
368,durch,64
369,werkstatt,5
370,eine,161
371,süßes,1
372,pappbilderbuch,1
373,über,75
374,verloren,3
375,gegangenen,1
376,teddy,1
377,vw,14
378,wolfsburg,4
379,oskar,1
380,vomhimmelhoch,1
381,piwi,1
382,plastiksuppe,1
383,krankenhausbuch,1
384,евроуотт,1
385,заплетение,1
386,осовить,1
387,magische,1
388,auge,3
389,евроотлично,1
390,laudatio,1
391,organi,1
392,zauberhafte,1
393,deko,1
394,ketten,2
395,weihnachtsbastelbuch,1
396,verfolgungsjagd,1
397,weitere,13
398,mathe,3
399,krimis,1
400,geschichten,9
401,vorlesen,1
402,орига,6
403,гюс,1
404,кёйер,1
405,bin,13
406,polleke,1
407,prinz,5
408,exupéry,1
409,gebetbuch,1
410,wiedersehen,1
411,barsaloi,1
412,corinne,1
413,hofmann,2
414,pippi,1
415,langstrumpf,1
416,wie,47
417,sheltie,1
418,kam,1
419,mellie,1
420,ponyflüsterin,1
421,фоторамка,4
422,евроживотное,1
423,еврокомплект,1
424,softshell,1
425,евроразмер,1
426,евроиспользоваться,1
427,евроизначальный,1
428,евровсё,2
429,европодарить,1
430,еврофпз,2
431,babybjörn,1
432,wickelrücksack,1
433,wickeltasche,1
434,гуглить,43
435,ибей,68
436,katzenhilfe,1
437,karlsruhe,26
438,pfotenhilfe,1
439,нрв,170
440,пристройство,1
441,животнозащитный,1
442,фоточка,4
443,ватсапп,1
444,katzenschutzbund,2
445,futterstelle,1
446,стерелизовать,1
447,кошконовичок,1
448,ебей,112
449,погуглита,65
450,etagenwohnung,1
451,внутриевропейский,1
452,дейсвительный,3
453,tiere,5
454,clevere,1
455,piks,1
456,pikser,1
457,alles,14
458,begann,2
459,grüne,8
460,wiesen,1
461,voller,1
462,fahrt,2
463,евробукинистика,1
464,евротвёрдый,1
465,евроабсолютно,1
466,квать,1
467,кенобь,1
468,zauberfeengeschichten,1
469,bücherbär,1
470,роулинга,2
471,suess,1
472,wimmelbuch,1
473,евротолстый,1
474,lernt,1
475,zähneputzen,1
476,moritz,2
477,naseweis,1
478,sternenschweif,3
479,einhornliebe,1
480,дикамилло,1
481,уинна,3
482,булонить,1
483,kommunion,1
484,florina,1
485,herbein,1
486,große,9
487,zauberschule,1
488,insekten,1
489,schlaf,2
490,schön,14
491,kleiner,5
492,hase,6
493,bienen,1
494,wespen,1
495,nacht,17
496,sterne,1
497,kaum,2
498,erwarten,2
499,rätselbilder,1
500,bilderrätsel,1
501,евроkirsch,1
502,dietrich,1
503,kirsch,1
504,jutta,1
505,herabhängende,1
506,kaninchenohren,1
507,karottenbeet,1
