,index,счетчик
0,домоправление,1
1,иносранец,2
2,позаносить,1
3,нашкодничать,1
4,подэцк,1
5,хаузмайстер,4
6,орднунгсамт,1
7,нибыть,323
8,раздербанить,1
9,wg,40
10,ru_muenchen,1
11,couchsurfing,1
12,gorod,2
13,забанить,4
14,трехкомнатный,4
15,четырехкомнатный,2
16,зы,14
17,лощадь,1
18,растаможить,4
19,zollamt,2
20,таможеника,1
21,столкнулать,1
22,рапсечатать,1
23,наклеян,1
24,нетить,1
25,отпусила,1
26,спецфирма,1
27,вообщеобойтись,1
28,zweitwohnung,1
29,getrenntleben,3
30,dauernd,1
31,getrennt,2
32,leben,2
33,tisch,1
34,bett,1
35,ситауции,2
36,небенвонунг,11
37,парагараф,2
38,хауптвонунг,6
39,поколька,2
40,терннунг,1
41,пофига,9
42,треннунг,2
43,динстваген,1
44,мельдешелла,1
45,лонштоереклерунг,1
46,финанцамт,5
47,штоербератор,2
48,абх,29
49,хаупт,3
50,niederlassungserlaubnis,17
51,работатодатель,1
52,мельдешелелла,1
53,видершпруха,7
54,ситауция,1
55,вонунг,1
56,другога,1
57,aeg,4
58,electrolux,1
59,lavatherm,1
60,condenser,1
61,еwaexl,1
62,bosch,2
63,washing,1
64,aab,1
65,rpm,1
66,есобираться,1
67,недиа,1
68,маркт,4
69,тамжа,1
70,емнип,10
71,невыгодныеподумать,1
72,мегаполезный,1
73,stromanbieter,1
74,быо_ый,1
75,ratenzahlung,1
76,neckermann,2
77,некерманна,1
78,спресовать,1
79,kostenlose,1
80,lieferung,1
81,костенлосый,1
82,бошевскай,1
83,камент,3
84,данкс,1
85,вайнахта,1
86,персо,1
87,подвай,1
88,киловатчас,1
89,рургебитый,2
90,буднино,1
91,сложнописать,1
92,овира,8
93,toko,1
94,reisen,2
95,заполненновать,1
96,фомуляр,1
97,просутствие,1
98,офмс,1
99,длай,1
100,прдварительный,1
101,зарешгестрировать,1
102,регестрировать,1
103,нать,1
104,вьезжать,1
105,дочий,1
106,непроблемный,1
107,иняз,5
108,aaaa,1
109,kultusministerium,1
110,anerkennung,4
111,besser,2
112,dem,8
113,наподтвердить,1
114,hilfskraft,2
115,bayerisches,1
116,landesjugendamt,1
117,педдиплом,2
118,schulamt,4
119,blja,1
120,volkshochschule,3
121,ря,1
122,eherenamtlich,1
123,готва,1
124,иформатик,1
125,чтоть,3
126,ауслендер,3
127,учаться,1
128,продленке,4
129,вюртенберг,2
130,немёк,1
131,pädagogische,2
132,hochschule,12
133,lehramt,2
134,продленка,1
135,спортшкола,1
136,assistent,1
137,sozialpädagog,1
138,унивесритет,1
139,типеть,1
140,bfi,1
141,бонуснаверняка,1
142,нестрессоустойчивый,1
143,профучилище,1
144,diplomanerkennung,1
145,биндж,1
146,зарегиться,2
147,ферайна,5
148,штатэкзамен,2
149,рефендариат,1
150,ауслендерамт,16
151,arbeitserlaubnis,6
152,beschverfv,3
153,spring_air,1
154,эссена,19
155,эрлаубнис,3
156,эссенский,1
157,rechtsschutz,2
158,besteht,3
159,nach,14
160,unseren,1
161,versicherungsbedingungen,1
162,für,44
163,wahrnehmung,1
164,rechtlicher,2
165,interessen,1
166,asyl,1
167,ausländerrechtsverfahren,1
168,бесрочный,3
169,разрешеник,1
170,ограниченый,1
171,unbefristete,4
172,unbefristet,3
173,отношенний,1
174,гринкарта,1
175,пмж,42
176,aufenthaltserlaubnis,14
177,auslanderamt,1
178,распечать,1
179,имить,1
180,попадаеь,1
181,мошеничество,1
182,роешитый,1
183,durchführungsanweisung,1
184,arbeitsagentur,1
185,ущемленый,1
186,итд,11
187,imurzina,1
188,топикпастер,2
189,ужачий,1
190,эскалировать,1
191,блакосклонный,1
192,arbeitsamt,4
193,атоматическлый,1
194,расскладка,1
195,поравил,1
196,hабираета,1
197,высветиться,1
198,фридрихштрасса,1
199,вэлкома,1
200,выбоплняться,1
201,арбайтсамт,8
202,alg,7
203,алг,3
204,поледний,1
205,явлиться,1
206,дюсссельдорф,1
207,комстик,1
208,japanisches,1
209,geschäftsvierteljapanischer,1
210,supermarkt,1
211,auf,12
212,immermannstraßeim,1
213,düsseldorfer,1
214,stadtteil,1
215,stadtmitte,1
216,liegt,2
217,etwa,1
218,hektar,1
219,großer,1
220,bereich,3
221,stark,1
222,japanisch,1
223,geprägt,1
224,immermanstraße,1
225,дюссель,10
226,schnee,1
227,regen,1
228,mensch,1
229,ärgere,1
230,dich,3
231,книфель,2
232,томбола,1
233,подарчек,1
234,пропрыгать,1
235,лошить,1
236,bluff,1
237,каркассон,1
238,phase,1
239,маифия,1
240,домдом,1
241,белкойземлетрясение,1
242,знатьудача,1
243,областисказать,1
244,медецинский,1
245,оычный,1
246,rehabilitation,1
247,reha,1
248,кардиоцентр,1
249,санаторийзависеть,1
250,anspruch,4
251,lohnfortzahlung,1
252,маштаб,1
253,настёж,1
254,luftentfeuchter,1
255,_угол,1
256,сквозьняк,1
257,фермитер,21
258,фоткай,1
