,index,0
0,гуглита,19
1,пейпэлом,3
2,мувер,1
3,кликабельный,23
4,евробольшой,5
5,еврон,11
6,евроэти,1
7,полцена,8
8,сортереть,5
9,еврокак,14
10,европростой,1
11,меморить,5
12,евродорожный,1
13,евровариант,1
14,евроновое,4
15,танграм,2
16,методичок,5
17,монстрик,1
18,евроклассный,2
19,еврораритет,1
20,евродинамический,1
21,евроновый,24
22,пачизя,1
23,евроэт,2
24,фиа,1
25,евроочень,2
26,евронастольный,1
27,евроabenteuer,1
28,европочитать,1
29,сортеры,8
30,розенхайм,7
31,нибыть,3022
32,евроravensburger,2
33,евроfluoreszierend,1
34,привата,57
35,продленка,22
36,продленке,14
37,итд,147
38,продлёнок,2
39,евроdas,1
40,фотовставка,1
41,евромаленький,1
42,евроинтересный,1
43,евромалость,1
44,джекка,2
45,евросостояние,4
46,виан,9
47,тьерь,1
48,зозить,1
49,обьемный,2
50,еврокнижечка,1
51,евроder,1
52,плаус,1
53,евромягкий,3
54,бегорский,1
55,коэльо,11
56,евроувеличить,1
57,евроsheila,1
58,евроvon,1
59,детсадовца,2
60,югендамт,98
61,джобцентр,22
62,арендыэтый,1
63,внж,692
64,ковид,1
65,растяпасэлинджер,1
66,миленеджефф,1
67,нимформацияницше,1
68,каникулыфилип,1
69,слёзыджон,1
70,фаулзти,8
71,волхвкен,1
72,кизя,1
73,кукушкишекспир,1
74,iiiгабриеля,1
75,рассказыоскар,1
76,кэндзабурый,1
77,оэ,1
78,годаджон,1
79,мантиссаджон,1
80,коллекционерэнтони,1
81,семяхорх,1
82,существэрих,1
83,своегочак,1
84,паланик,4
85,бродягигабриель,1
86,водыджером,1
87,собакишекспир,1
88,поэзиясервантес,1
89,свежеиздать,2
90,попиарить,1
91,русскоязычность,1
92,расчитка,3
93,еврокнига,10
94,евровес,2
95,еврасти,3
96,началка,8
97,европолностью,1
98,евроenglische,1
99,nöstlingerновый,1
100,еврокулинарный,1
101,холфорд,2
102,гормоно,1
103,диетология,2
104,реккер,1
105,самоисцеление,1
106,ужег,1
107,евротитульный,1
108,бликовать,1
109,лощинский,1
110,застольньис,1
111,вайза,1
112,фредериксен,1
113,евроэтый,4
114,кэлдёр,1
115,тобыть,82
116,пассбук,1
117,евроfeng,1
118,линдгрена,5
119,форзаец,1
120,еврооб,1
121,мимими,4
122,леонить,2
123,евроleonie,1
124,минний,5
125,миннилина,1
126,евроeine,1
127,евроуотт,1
128,заплетение,1
129,осовить,1
130,евроотлично,1
131,орига,6
132,гюс,1
133,кёйер,1
134,фоторамка,4
135,евроживотное,1
136,еврокомплект,1
137,евроразмер,1
138,евроиспользоваться,1
139,евроизначальный,1
140,евровсё,2
141,европодарить,1
142,еврофпз,2
143,гуглить,43
144,ибей,68
145,нрв,170
146,пристройство,1
147,животнозащитный,1
148,фоточка,4
149,ватсапп,1
150,стерелизовать,1
151,кошконовичок,1
152,ебей,112
153,погуглита,65
154,внутриевропейский,1
155,дейсвительный,3
156,евробукинистика,1
157,евротвёрдый,1
158,евроабсолютно,1
159,квать,1
160,кенобь,1
161,роулинга,2
162,евротолстый,1
163,дикамилло,1
164,уинна,3
165,булонить,1
166,евроkirsch,1
167,евроkaninchenzauberei,1
168,евроописание,8
169,смешарик,10
170,усачев,3
171,абвгдейк,1
172,саакянц,1
173,евролюбимый,1
174,ежикаплюс,1
175,елкалюбимый,1
176,лосяшаазбук,1
177,смешариковлюбить,1
178,барашапроект,1
179,соответственнофильм,1
180,драконебукварик,1
181,dvdновое,1
182,проданоновый,1
183,ульева,1
184,малоёжка,1
185,тракторнеобыкновенный,1
186,рауд,1
187,полботинок,2
188,накситраллея,1
189,высокимчеловек,1
190,белоснежок,2
191,ссузов,1
192,каллан,2
193,дженять,3
194,евроisbn,1
195,евроdvd,1
196,инострац,4
197,гуглёж,8
198,зулейх,2
199,бормор,1
200,нетфликс,6
201,полставка,18
202,крапивина,1
203,чевенгурлучш,1
204,былоточный,1
205,рутрекер,2
206,улицкай,20
207,гушль,1
208,выдастedited,1
209,улицковать,3
210,навырост,1
211,фиксик,1
212,ютуба,16
213,читарик,1
214,еврокорнилов,1
215,лосяша,2
216,суперчитарик,2
217,еврощукин,1
218,тописание,1
219,простодурсен,2
220,кмк,20
221,турецк,2
222,садикнуть,1
223,клейнгартнер,1
224,сарайк,2
225,инвертарь,1
226,тирхайма,8
227,оснабрюки,14
228,бездомышей,2
229,зашкаливать,4
230,оснабрюк,10
231,пэйполый,1
232,мимотут,1
233,пейпеть,9
234,степстоун,3
235,мнд,2
236,уч,3
237,анабин,19
238,соотвественный,18
239,госаккредитация,1
240,аусбилдунг,6
241,менятъ,2
242,загран,341
243,фамиля,2
244,менявопрос,1
245,легализационный,1
