,index,0
0,погуглита,2
1,росий,4
2,дортмундчанин,1
3,врядло,1
4,хбф,3
5,нибыть,272
6,чесный,5
7,еслщё,1
8,бохум,12
9,эссена,3
10,визза,1
11,дискаунтер,3
12,впринцип,2
13,вобщий,17
14,чойт,1
15,визэйр,1
16,инф,37
17,интеррейл,2
18,единтсевенный,1
19,гуттолько,1
20,путешейсвие,1
21,незадачка,1
22,немеццкома,1
23,интеррейлу,1
24,канаета,2
25,пересаживиться,1
26,аугсбург,13
27,вокзлый,1
28,турбюро,16
29,еу,1
30,талиес,1
31,ице,1
32,демония,1
33,трансформера,1
34,нутереть,1
35,подешефш,1
36,ибей,5
37,дешeвыя,1
38,хэндлера,2
39,имейлом,1
40,предраться,2
41,продпочитать,1
42,натерать,1
43,неубиваемость,1
44,демониевский,1
45,ньюроковский,1
46,сьезжать,1
47,неубойность,1
48,разошоться,1
49,бльший,1
50,итд,15
51,пузлый,1
52,поммес,1
53,колгата,1
54,цэдэ,1
55,хафау,1
56,пэцэ,1
57,уфау,1
58,пеугеоть,1
59,данонэ,1
60,эпплый,1
61,апфель,1
62,тхёрман,1
63,соз,1
64,фразцузский,1
65,француск,1
66,энгажть,1
67,телешопинга,1
68,йотфауце,1
69,ангажема,1
70,гуголь,4
71,социаламту,1
72,определ,1
73,выплаченый,1
74,потреповать,1
75,исекунда,1
76,ляйстунг,1
77,социаллястунг,1
78,гуглый,1
79,штрафануть,1
80,регестрироваться,1
81,полюбома,1
82,уедить,1
83,социалхильф,2
84,джобцентр,2
85,проверитьва,1
86,шверпункт,1
87,учебничек,1
88,уни,61
89,фх,14
90,посуть,1
91,линалгебра,2
92,бевербунг,14
93,рекоммендовать,2
94,неподготовить,1
95,профф,2
96,длстаточный,1
97,тестцентр,1
98,профа,10
99,матфак,1
100,диференциальный,2
101,экономфак,1
102,переодичёска,3
103,уровнения,3
104,деференциальный,1
105,козинус,1
106,пасворд,1
107,локейшн,1
108,маркт,3
109,какб,2
110,aegidientorplatzбыть,1
111,мотивиционный,1
112,высниться,1
113,адвокатсовать,1
114,вопрсоу,1
115,советаести,1
116,амтсгерихта,1
117,безнадежноепоэтый,1
118,вадвокат,1
119,перенимат,1
120,платитный,1
121,шперо,1
122,азаться,1
123,распространяетсякороч,1
124,увопрос,1
125,уздерожок,1
126,зельбстбетайлигунг,2
127,работувозможный,1
128,коснультация,1
129,rechtsschutzестьва,1
130,инуть,35
131,которын,1
132,овергать,1
133,местопроживание,1
134,задвиганий,1
135,билефельдский,3
136,градуиртенколлега,1
137,мэйнстрить,1
138,занудность,1
139,жесамый,1
140,билёд,1
141,евроньюс,1
142,мусорница,1
143,настройкк,1
144,яндексовский,1
145,немеский,1
146,принт,1
147,смысесть,1
148,сисег,1
149,серъёзный,2
150,обыкновенноподковать,1
151,platzвота,1
152,сбербанковский,1
153,сбер,7
154,германвингз,9
155,естетсвенный,1
156,увиедло,1
157,банкинг,3
158,такситс,1
159,заморадивать,1
160,расморозиться,1
161,разморозиться,1
162,таий,2
163,тамбольше,1
164,хотлайна,10
165,джерманвингс,3
166,объянять,1
167,грамтоно,1
168,хаусмайстер,6
169,невпервой,1
170,сантеxник,1
171,шёнэ,3
172,юнгэ,3
173,жизньва,1
174,ващий,22
175,чоля,1
176,гыыыы,1
177,шив,1
178,прил,1
179,люить,1
180,слехать,4
181,ауслендерамт,17
182,псевдогодовой,1
183,хорощать,1
184,нихрен,2
185,ндя,3
186,фигея,1
187,псть,1
188,предварительнео,1
189,прокатский,1
190,межда,2
191,собчтвенный,1
192,вождениq,2
193,имеq,1
194,садать,1
195,взqть,2
196,училисьва,1
197,предетсq,1
198,переучиватьсq,1
199,понqтиq,1
200,длq,1
201,останавливатьсq,1
202,прчие,1
203,вождениqдезинформация,1
204,правзаблуждение,1
205,отслушивание,1
206,откатывание,1
207,мюнхенedited,1
208,теор,2
209,гермнаий,1
210,получениq,1
211,внж,26
212,баблочерез,1
213,евросдавать,1
214,русскомлучш,1
215,приедетеподробность,1
216,русскмить,1
217,автобанный,1
218,тышнуть,1
219,аутошкола,1
220,еврой,1
221,вьехать,4
222,докмент,1
223,ребеёнка,1
224,подверждение,1
225,вьезда,1
226,выдаести,1
227,вписание,8
228,папорт,1
229,вьездной,1
230,гражданинапаспорт,1
231,родинуть,1
232,властямподозревать,1
233,икогда,1
234,белоруский,1
235,свидельство,1
236,косульство,1
237,беларусие,1
238,отсутсвовать,4
239,_немецким_,1
240,гражаданин,1
241,страныэтый,1
242,бывш,1
243,овира,6
244,беларуска,1
245,извино,1
246,пож,2
247,универститет,3
248,постдок,9
249,спискес,1
250,экономикипосмотрит,1
251,профома,1
252,зарерять,1
253,отправлят,1
254,интерь,1
255,получаетета,1
256,визуникакий,1
257,раскаэть,1
258,азверить,1
259,решеий,1
260,аглийский,1
261,ресурсводительский,1
262,праворульный,2
263,записиться,1
264,мимнимум,1
265,дейтвительный,1
266,ограниченийэтый,1
267,важноспасибо,1
268,легойда,1
269,завкафедра,1
270,неагресивный,1
271,большегог,1
272,бросаецца,1
273,карочий,1
274,суконый,1
275,совестский,1
276,звинять,1
277,кристик,1
278,поредактировать,1
279,муттершпрах,1
280,ооооооооо,1
281,штефен,1
282,хинделанг,1
283,тюбингенский,1
284,пластиченый,1
285,немцкома,2
286,описывя,1
287,итшник,1
288,ваканси,1
289,забевербоваться,1
290,тпа,1
291,наскольо,1
292,сотруник,1
293,стописять,1
294,загран,20
295,черездвенеделить,1
296,переприписаться,1
297,зачернуль,1
298,доставль,1
299,мсочь,1
300,языкать,1
301,русскоговорить,17
302,отступение,1
303,обстанвка,1
304,паралельной,1
305,возрост,1
306,некотор,2
307,монолингуальный,1
308,педиатор,1
309,трехязычный,1
310,заяваться,1
311,магинитный,1
312,почас,1
313,цыфр,1
314,видеотечный,1
315,битта,3
316,растамаживать,1
317,банковск,1
318,_____________________________________правда,1
319,вэд,1
320,расстамаживать,1
321,рб,6
322,сожалениюнь,1
323,занмаяться,1
324,могиламин,1
325,погуглила,1
326,зигбург,3
327,мозет,1
328,бойло,1
329,наружний,1
330,насрута,1
331,жалюзя,2
332,придьевлять,1
333,притензия,2
334,закончесться,1
335,даетета,1
336,варкрафт,1
337,фермитер,10
338,гобильный,1
339,чтого,1
340,оплачивания,1
341,воздухопропускать,1
342,покрасифш,1
343,шкафчег,1
344,митфертрага,2
345,преложения,1
346,ночий,1
347,законамол,1
348,конкретномить,1
349,фроиндлихен,1
350,грюсный,1
351,фермитереть,15
352,уроненый,1
353,сооббщество,1
354,веротный,1
355,хелп,1
356,зарубеж,2
357,замороченно,1
358,мск,7
359,инфа,3
360,нравиццо,1
361,затарилася,1
362,окупаецца,1
363,наверный,2
364,учацца,1
365,бабнуть,6
366,каминёр,1
367,славников,1
368,медиатека,1
369,пэсэ,1
370,социологически,1
371,немецкость,1
372,вёлка,1
373,фуфть,2
374,фуфлище,1
375,букмарк,1
376,нижеприведенный,1
377,социаламт,8
378,киндергельд,1
379,арбайтсамт,16
380,бафечь,5
381,нибудб,1
382,пенсиюести,1
383,бафег,3
384,бафегsgb,1
385,предпослылка,1
386,беруфшуля,1
387,поищить,1
388,выходять,1
389,вонгельд,1
390,антрага,10
391,отзваться,2
392,провеситьм,1
393,штол,1
394,кстат,4
395,соотво,14
396,ландратсамт,2
397,плииизupdate,1
398,укр,2
399,начальницо,1
400,мисбраухен,1
401,мрэо,1
402,пользоватие,1
403,фрайбергев,1
404,карлсруя,11
405,вислох,1
406,цулазунгштелла,1
407,ауслэндцамт,1
408,получаюб,1
409,тунеядсвт,1
410,адвокт,1
411,нмецкий,1
412,пупереть,1
413,воообщий,2
414,бреееед,1
415,оветит,1
416,малорезультативно,1
417,германя,3
418,мееть,1
419,самма,1
420,шпрахкурс,2
421,инстит,1
422,информацйие,1
423,признантельный,1
424,оооочень,5
425,капитлом,1
426,нотар,1
427,гослицензия,1
428,крефельд,2
429,безполезно,1
430,евроэтый,1
431,грабанула,1
432,пукт,1
433,шенефилд,1
434,тепеерь,1
435,сексмиссия,1
436,таможеный,1
437,состоянь,1
438,гроса,1
439,викенд,1
440,platzть,1
441,steglitzженский,1
442,кадева,2
443,шлоссштр,1
444,кдв,2
445,бамажка,1
446,узнастя,1
447,нлп,1
448,клинить,1
449,ниодный,1
450,ктонибуть,1
451,нпл,1
452,илиheckerdamm,1
453,ахена,5
454,элизенбрунный,2
455,забегалов,1
456,ахенский,1
457,заниться,1
458,вайнахтсмаркт,1
459,ваальс,3
460,deсобор,1
461,музейsommerfeldstr,1
462,aachenработать,1
463,аахен,6
464,драйлэндерэк,1
465,маастрихт,2
466,матнуться,1
467,хаусмастер,1
468,низзить,4
469,фотаять,1
470,фотыть,1
471,матеряццо,1
472,сфотаять,2
