,index,счетчик
0,кликабельный,8
1,евробольшой,3
2,еврон,5
3,евроэти,1
4,полцена,2
5,сортереть,4
6,еврокак,12
7,европростой,1
8,меморить,2
9,евродорожный,1
10,евровариант,1
11,евроновое,3
12,танграм,1
13,методичок,1
14,монстрик,1
15,евроклассный,2
16,еврораритет,1
17,евродинамический,1
18,евроновый,20
19,пачизя,1
20,евроэт,2
21,фиа,1
22,евроочень,1
23,евронастольный,1
24,евроabenteuer,1
25,европочитать,1
26,сортеры,8
27,розенхайм,1
28,нибыть,9
29,евроravensburger,2
30,евроfluoreszierend,1
31,привата,1
32,продленка,11
33,продленке,2
34,итд,2
35,продлёнок,1
36,евроdas,1
37,фотовставка,1
38,евромаленький,1
39,евроинтересный,1
40,евромалость,1
41,джекка,2
42,евросостояние,4
43,виан,4
44,тьерь,1
45,зозить,1
46,обьемный,1
47,еврокнижечка,1
48,евроder,1
49,плаус,1
50,евромягкий,3
51,бегорский,1
52,коэльо,3
53,евроувеличить,1
54,евроsheila,1
55,евроvon,1
56,детсадовца,1
57,югендамт,1
58,джобцентр,1
59,арендыэтый,1
60,внж,8
61,ковид,1
62,растяпасэлинджер,1
63,миленеджефф,1
64,нимформацияницше,1
65,каникулыфилип,1
66,слёзыджон,1
67,фаулзти,3
68,волхвкен,1
69,кизя,1
70,кукушкишекспир,1
71,iiiгабриеля,1
72,рассказыоскар,1
73,кэндзабурый,1
74,оэ,1
75,годаджон,1
76,мантиссаджон,1
77,коллекционерэнтони,1
78,семяхорх,1
79,существэрих,1
80,своегочак,1
81,паланик,1
82,бродягигабриель,1
83,водыджером,1
84,собакишекспир,1
85,поэзиясервантес,1
86,свежеиздать,1
87,попиарить,1
88,русскоязычность,1
89,расчитка,3
90,еврокнига,5
91,евровес,2
92,еврасти,2
93,началка,1
94,европолностью,1
95,евроenglische,1
96,nöstlingerновый,1
97,еврокулинарный,1
98,холфорд,2
99,гормоно,1
100,диетология,2
101,реккер,1
102,самоисцеление,1
103,ужег,1
104,евротитульный,1
105,бликовать,1
106,лощинский,1
107,застольньис,1
108,вайза,1
109,фредериксен,1
110,евроэтый,1
111,кэлдёр,1
112,тобыть,1
113,пассбук,1
114,евроfeng,1
115,линдгрена,2
116,форзаец,1
117,еврооб,1
118,мимими,1
119,леонить,1
120,евроleonie,1
121,минний,5
122,миннилина,1
123,евроeine,1
124,евроуотт,1
125,заплетение,1
126,осовить,1
127,евроотлично,1
128,орига,1
129,гюс,1
130,кёйер,1
131,фоторамка,2
132,евроживотное,1
133,еврокомплект,1
134,евроразмер,1
135,евроиспользоваться,1
136,евроизначальный,1
137,евровсё,1
138,европодарить,1
139,еврофпз,2
140,гуглить,1
141,ибей,1
142,нрв,2
143,пристройство,1
144,животнозащитный,1
145,фоточка,1
146,ватсапп,1
147,стерелизовать,1
148,кошконовичок,1
149,ебей,1
150,погуглита,1
151,гуглита,1
152,внутриевропейский,1
153,дейсвительный,1
154,евробукинистика,1
155,евротвёрдый,1
156,евроабсолютно,1
157,квать,1
158,кенобь,1
159,роулинга,2
160,евротолстый,1
161,дикамилло,1
162,уинна,3
163,булонить,1
164,евроkirsch,1
165,евроkaninchenzauberei,1
166,евроописание,8
167,смешарик,6
168,усачев,1
169,абвгдейк,1
170,саакянц,1
171,евролюбимый,1
172,ежикаплюс,1
173,елкалюбимый,1
174,лосяшаазбук,1
175,смешариковлюбить,1
176,барашапроект,1
177,соответственнофильм,1
178,драконебукварик,1
179,dvdновое,1
180,проданоновый,1
181,ульева,1
182,малоёжка,1
183,тракторнеобыкновенный,1
184,рауд,1
185,полботинок,2
186,накситраллея,1
187,высокимчеловек,1
188,белоснежок,1
189,ссузов,1
190,каллан,2
191,дженять,2
192,евроisbn,1
193,евроdvd,1
194,инострац,1
195,гуглёж,1
196,зулейх,2
197,бормор,1
198,нетфликс,1
199,полставка,1
200,крапивина,1
201,чевенгурлучш,1
202,былоточный,1
203,рутрекер,1
204,улицкай,1
205,гушль,1
206,выдастedited,1
207,улицковать,2
208,навырост,1
209,фиксик,1
210,ютуба,2
211,читарик,1
212,еврокорнилов,1
213,лосяша,2
214,суперчитарик,2
215,еврощукин,1
216,тописание,1
217,простодурсен,2
218,кмк,1
219,турецк,1
220,садикнуть,1
221,клейнгартнер,1
222,сарайк,1
223,инвертарь,1
224,тирхайма,2
225,оснабрюки,1
226,бездомышей,2
227,зашкаливать,1
228,оснабрюк,1
229,пэйполый,1
230,мимотут,1
231,пейпеть,1
232,степстоун,1
233,мнд,1
234,уч,1
235,анабин,3
236,соотвественный,3
237,госаккредитация,1
238,аусбилдунг,1
239,менятъ,1
240,загран,2
241,фамиля,1
242,менявопрос,1
243,легализационный,1
244,арostille,1
245,правдачтол,1
246,тупитьспасибо,1
247,предзаверить,1
248,ребенкино,1
249,штрасса,1
250,фб,1
251,пейпасть,1
252,гмбха,1
253,электромобильность,1
254,лобиистый,1
255,itшник,1
256,deзаранее,1
257,русскоговорить,1
