,index,счетчик
0,гуголь,1
1,ебай,3
2,нибыть,53
3,придодный,1
4,бефунгин,1
5,харддиск,1
6,вкурс,2
7,инфа,1
8,дорогоастенький,1
9,бэкапиться,1
10,винчестр,1
11,клетц,1
12,клётц,1
13,какоя,1
14,ибей,5
15,сетбук,1
16,несудьба,1
17,маякнит,1
18,гармиша,11
19,нойшванштайна,4
20,роный,1
21,обычнузя,1
22,гоода,1
23,фюссено,2
24,фюссный,2
25,фюссена,2
26,гармиш,1
27,германя,2
28,цугшпиц,1
29,омывалка,1
30,омывательный,1
31,пейзаааж,1
32,ширик,1
33,телевикома,1
34,отдохнуууть,1
35,небольсовать,1
36,внж,25
37,пмж,15
38,корумпирование,1
39,благод,1
40,аусвайза,1
41,передчик,1
42,deный,1
43,цулассунгштелла,1
44,фюрунгсшайнбюро,1
45,сразуй,1
46,помоггвть,1
47,станетникакий,1
48,станутдубликат,1
49,проживанияпроблема,1
50,нуженна,1
51,характеристикуи,1
52,сплошгойя,1
53,фксировать,1
54,плицейский,1
55,докумена,1
56,домовво,1
57,нуженить,1
58,благспасибо,1
59,сбственный,1
60,отпрадавать,1
61,российскт,1
62,реквезита,3
63,бамажка,1
64,риелтереть,1
65,галачка,1
66,подойтета,1
67,предлaгай,1
68,надом,2
69,ишш,1
70,стундента,1
71,принцып,2
72,вобщий,1
73,сообществать,1
74,кранкенкасса,10
75,россиинагревание,1
76,свежевыжать,1
77,мёданагревание,1
78,шебуршитый,1
79,вылетаетво,1
80,лечилсяedited,1
81,выполнилика,1
82,презентоваться,1
83,гайморитчик,1
84,хно,1
85,хейлпрактикер,1
86,ратинген,1
87,принимаей,1
88,бессера,1
89,аlergietest,1
90,разрекламированность,1
91,фурациллина,1
92,ферациллин,1
93,затариваться,1
94,присоединяюсъ,1
95,syr_syrпоискать,1
96,о_оспасибо,1
97,пооблема,1
98,орднунгсамт,1
99,стрильный,1
100,епиано,1
101,гастайга,1
102,жеский,1
103,отностися,1
104,многоподъезнать,1
105,неснижение,1
106,сетр,1
107,звукоизолироваться,1
108,временый,1
109,сторая,1
110,штойербератор,2
111,форсмажорный,1
112,абхолунг,1
113,дпд,2
114,оуторсерам,1
115,ферайна,1
116,гдеть,1
117,фгод,1
118,особуа,1
119,бетамакс,1
120,дельмонт,1
121,флетрейт,1
122,теперьsmstrade,1
123,штудентенверка,1
124,цвишенмить,1
125,шарлоттенбург,2
126,тиргартен,1
127,пренцлауэр,1
128,фридрихсхайм,1
129,нойкёльна,1
130,архангелогородчанка,1
131,сравка,2
132,барнуал,1
133,бытьва,1
134,инуть,6
135,deэтый,1
136,обклеёный,1
137,оутсорсинг,1
138,пеекидывать,1
139,глонас,1
140,словаentweltlichung,1
141,размирщение,2
142,содежаний,1
143,отмирщение,2
